Product_Name,Brand,Offered_Price,Actual_Price,Rating,Connectivity,Compatibility
"ARcNet Wireless Gaming Controller for PC, Android & iOS – Hall Effect Joystick Gamepad with RGB Lighting, Dual Vibration & Turbo | Compatible with Windows 10/11, PS3",ARcNet,2998,8999,4.5,Wireless,Universal
"ZEBRONICS MAX LINK PRO, Wireless Controller, Hall Effect, 6 Axis Gyro, Analog Triggers, Touch Pad, Dual Motor Haptics, Macro Buttons, Rechargeable Battery, Supports PS4, PS3, Windows, Android, iOS",ZEBRONICS,2099,4199,3.3,Wireless,Console
"EvoFox One S Universal 3-Mode Wireless Gaming Controller, HallSense™ Precision Joysticks, Bluetooth 5.0, 2.4GHz, Fast Type-C Charging for PC, Mobile, Android TV - White",EvoFox,1599,2299,4.4,Wireless,Universal
"Cosmic Byte ARES Wired Controller for PC, Upgraded Hall Effect Joystick & Triggers, Dual Vibration, Backit LED Buttons, Turbo, Auto Turbo (Black)",Cosmic,999,2499,4.5,Wired,Universal
"Cosmic Byte Nexus Wireless Controller for PC | Dual Vibration, Sensitive Triggers, Fast Response | Powered by 2 AAA Batteries (Not Included) (White)",Cosmic,825,1699,4.0,Wireless,Universal
"Zebronics MAX FURY Transparent RGB LED Illuminated Wired Gamepad for Windows PC, Android, with Dual analog sticks, Quad front triggers, Dual motors force, Haptic Feedback",Zebronics,999,1999,4.2,Wired,Universal
"EvoFox One S Red V2 Universal 3-Mode Wireless Gaming Controller,1000Hz HallSense™ Precision Joysticks, BT, 2.4GHz & Wired, Macros, Fast Type-C Charging, PC, Mobile, Android TV, PS4 & Console Gaming",EvoFox,1649,164900,5.0,Wireless,Universal
"EvoFox Elite X RGB Wired Gaming Controller for PC with 2 Programmable Macro Back Buttons, Adjustable Dual Vibration Motors,Turbo Mode,Analog Triggers, High Precision joysticks,Low Latency Plug and Play,Translucent Shell Gamepad for pc",EvoFox,1199,1999,4.3,Wired,Universal
"Cosmic Byte Blitz Tri Mode Controller for PC, Hall Effect Triggers, 1000Hz Polling Rate, Adjustable Vibration, Turbo & Auto Turbo, Upgraded with Gyro, TMR Joystick, Software and Charging Dock Support (Grey)",Cosmic,1999,3999,4.3,Wired,Universal
"EvoFox Elite X2 Wireless Gaming Controller For PC with 1000Hz Polling Rate, Dual-Mode (2.4G & Type C), Hallsense™ Magnetic Hall 3D Joysticks & Triggers, EZ Click Macros, Dual Vibration Motors(White)",EvoFox,1799,179900,4.3,Wireless,Universal
"Cosmic Byte Stellaris Controller, 3 Modes Wifi + Bluetooth + Wired for PC, iOS, Android, Hall Effect Trigger and Upgraded TMR Joystick, Macros, 1000mAh Battery, RGB LED, Software Support (Black)",Cosmic,2699,5499,4.2,Wired,Universal
"Cosmic Byte Blitz Tri Mode Controller for PC, Hall Effect Triggers, 1000Hz Polling Rate, Adjustable Vibration, Turbo & Auto Turbo, Upgraded with Gyro, TMR Joystick, Software and Charging Dock Support (Black)",Cosmic,1999,3999,4.3,Wired,Universal
"EvoFox Elite Ops Wired Gaming Controller for PC, Android TV and PS3 with 2.4m Long Cable | Dual Vibration Rumble Motors | Zero Lag Connectivity with Plug and Play functionality |2.4m Long Cable, X-Input & D-Input | Black",EvoFox,879,1499,4.2,Wired,Universal
